Line follower updated BOM;;;;;;;;47,93
Kur / Exchange rate: 1 USD = 47.93 TRY (19 Aðustos 2026);;;;;;;;
;;;;;;;;
#;Ürün / Item;Adet / Qty;Birim Fiyat (TL);Tutar TL (KDV Hariç);Birim Fiyat (USD);Tutar USD (KDV Hariç);;
1;Mini Ayarlanabilir 3A Voltaj Regülatör Kartý - LM2596-ADJ;2;23,03;46,06;$0,48;$0,96;;
2;Arduino Nano Sensör Shield;1;46,55;46,55;$0,97;$0,97;;
3;25mm M3 Metal Diþi-Erkek Aralayýcý - Standoff;4;8,09;32,36;$0,17;$0,68;;
4;M3 Somun - 10 Adet (paket);2;4,66;9,32;$0,10;$0,19;;
5;M3 10mm YSB Yýldýz Silindirik Baþ Vida - 10 Adet (paket);14;2,94;41,16;$0,06;$0,86;;
6;TB6612FNG Çift Motor Sürücü Devresi - Kýrmýzý;1;85,75;85,75;$1,79;$1,79;;
7;40 Pin Ayrýlabilen Diþi-Erkek Jumper Kablo - 200mm;1;29,40;29,40;$0,61;$0,61;;
8;Arduino Nano Klon (USB Kablo Hediyeli, CH340);1;147,00;147,00;$3,07;$3,07;;
9;Bond Silikon Tekerlek Seti 30mm Kýrmýzý;1;343,00;343,00;$7,16;$7,16;;
10;Lehim Seti;1;360,00;360,00;$7,51;$7,51;;
11;6V 12mm 600 RPM Redüktörlü DC Motor;2;183,42;366,84;$3,83;$7,65;;
12;Mini Sarhoþ Teker Plastik - 2 Adet;1;43,67;43,67;$0,91;$0,91;;
13;QTR-8A 8'li Çizgi Algýlama Sensör Kartý;1;115,29;115,29;$2,41;$2,41;;
;Ara Toplam (KDV Hariç) / Subtotal;;;1.666,40;;$34,77;;
;KDV %20 / VAT 20%;;;333,28;;6,953473816;;
;GENEL TOPLAM / TOTAL;;;1.999,68;;$41,72;;
;;;;;;;;
;;;;;;;;
