Part;Qty;Unit TRY;Unit USD;Total TRY;Total USD
40 Pin Female-Male Jumper Cable 200mm;1;57,13;1,43;57,13;1,43
25 mm M3 Brass Standoff;4;9,23;0,23;36,92;0,92
40 Pin Male-Male Jumper Cable 200mm;1;54,24;1,36;54,24;1,36
M3x10 Screw Pack;25;0,82;0,02;20,5;0,5
Arduino Nano Sensor Shield;1;83,67;2,09;83,67;2,09
Arduino Nano CH340;1;239,47;5,99;239,47;5,99
Mini Ball Caster (2 pcs);1;43,28;1,08;43,28;1,08
TB6612FNG Motor Driver;1;116,56;2,91;116,56;2,91
Orion 18650 2200mAh Battery;2;90,59;2,26;181,18;4,52
2x18650 Battery Holder;1;30,93;0,77;30,93;0,77
Mini Breadboard;1;12,12;0,3;12,12;0,3
6V 1200RPM Gear Motor;2;181,76;4,54;363,52;9,08
M3x5 Screw Pack;25;0,96;0,02;24;0,5
QTR-8A Sensor Array;1;114,25;2,86;114,25;2,86
M3 Nut Pack;50;0,96;0,02;48;1
Soldering Kit;1;370;9,25;370;9,25
Dual-slot 18650 Charger;1;300;7,5;300;7,5
;;;TOTAL;2095,77;52,06
