"","","","","","","","","","","",""
"Source: robotistan.com/sepet cart  |  FX rate used: 1 USD = 48.09 TRY","","","","","","","","","","",""
"","","","","","","","","","","",""
"No","Part Name (English)","Part Name (Turkish)","Brand","Qty","Unit Price (TL)","Unit Price (USD)","Total Price (TL)","Total Price (USD)","","",""
"1","QTR-8A 8-Channel Line Following Sensor Array","QTR-8A 8'li Çizgi Algılama Sensör Kartı","Robotistan","1","116,00 TL","$2,41","116,00 TL","$2,41","","",""
"2","6V 12mm 600 RPM Micro Metal Gear DC Motor","6V 12mm 600 RPM Redüktörlü DC Motor","Robotistan","2","184,54 TL","$3,84","369,08 TL","$7,67","","",""
"3","Arduino Nano Development Board (CH340)","Arduino Tabanlı Nano Geliştirme Kartı (CH340)","Robotistan","1","243,12 TL","$5,06","243,12 TL","$5,06","","",""
"4","Nano Sensor Shield for Arduino","Arduino için Nano Sensor Shield","Robotistan","1","84,95 TL","$1,77","84,95 TL","$1,77","","",""
"5","Mini Caster Wheel Plastic - 2 Pcs","Mini Sarhoş Teker Plastik - 2 Adet","Robotistan","1","43,94 TL","$0,91","43,94 TL","$0,91","","",""
"6","40-Pin Female-Male Jumper Wires - 200mm","40 Pin Ayrılabilen Dişi-Erkek M-F Jumper Kablo - 200 mm","Robotistan","1","55,07 TL","$1,15","55,07 TL","$1,15","","",""
"7","TB6612FNG Stepper/DC Motor Driver","TB6612FNG Step Motor S�r�c� / DC Motor S�r�c�","Robotistan","1","118,34 TL","$2,46","118,34 TL","$2,46","","",""
"8","SLT20 Silicone Wheel (33x21mm) - 2 Pcs","SLT20 Silikon Tekerlek (33x21 mm) - 2 Adet","Jsumo","1","473,36 TL","$9,84","473,36 TL","$9,84","","",""
"9","M3 Hex Nut","M3 Somun","Robotistan","50","0,96 TL","$0,02","48,00 TL","$1,00","","",""
"10","25mm M3 Female-Male Standoff Spacer","25 mm M3 Metal Dişi-Erkek Aralayıcc (Standoff-Spacer-Yükseltici)","Robotistan","4","9,37 TL","$0,19","37,48 TL","$0,78","","",""
"11","M3 10mm Phillips Round Head Machine Screw","M3 10 mm YSB Yıldız Silindirik Bar Metrik Vida","Robotistan","25","0,82 TL","$0,02","20,50 TL","$0,43","","",""
"12","LM2596 Mini Adjustable Buck Converter Module 3A (4-35V to 1.25-30V)","LM2596 Mini Ayarlanabilir Voltaj D���r�c� Reg�lat�r Kart� 3A (4-35V ile 1.25-30V)","Robotistan","2","60,93 TL","$1,27","121,86 TL","$2,53","","",""
"TOTAL","","","","","1.391,40 TL","$28,93","1.731,70 TL","$36,01","","",""
